,Price ($/kWh),cld - distribution,mec - generation,mgcc - generation,fixed cost
2024-12-01 00:00:00-08:00,0.080126,0.011342,0.068784,0.0,0
2024-12-01 01:00:00-08:00,0.088279,0.020343,0.067936,0.0,0
2024-12-01 02:00:00-08:00,0.081998,0.018755,0.063243,0.0,0
2024-12-01 03:00:00-08:00,0.084586,0.022412,0.062174,0.0,0
2024-12-01 04:00:00-08:00,0.08845,0.024865,0.063585,0.0,0
2024-12-01 05:00:00-08:00,0.089015,0.023931,0.065084,0.0,0
2024-12-01 06:00:00-08:00,0.098082,0.032539,0.065543,0.0,0
2024-12-01 07:00:00-08:00,0.099009,0.044036,0.054973,0.0,0
2024-12-01 08:00:00-08:00,0.090849,0.044702,0.046147,0.0,0
2024-12-01 09:00:00-08:00,0.085757,0.038734,0.047023,0.0,0
2024-12-01 10:00:00-08:00,0.106105,0.062374,0.043731,0.0,0
2024-12-01 11:00:00-08:00,0.086177,0.044773,0.041404,0.0,0
2024-12-01 12:00:00-08:00,0.085634,0.045352,0.040282,0.0,0
2024-12-01 13:00:00-08:00,0.078408,0.037697,0.040711,0.0,0
2024-12-01 14:00:00-08:00,0.096425,0.051926,0.044499,0.0,0
2024-12-01 15:00:00-08:00,0.148684,0.087816,0.060868,0.0,0
2024-12-01 16:00:00-08:00,0.170701,0.098846,0.071855,0.0,0
2024-12-01 17:00:00-08:00,0.225777,0.151541,0.074236,0.0,0
2024-12-01 18:00:00-08:00,0.224856,0.152855,0.072001,0.0,0
2024-12-01 19:00:00-08:00,0.181196,0.110357,0.070839,0.0,0
2024-12-01 20:00:00-08:00,0.197076,0.126673,0.070403,0.0,0
2024-12-01 21:00:00-08:00,0.176025,0.10504,0.070985,0.0,0
2024-12-01 22:00:00-08:00,0.138223,0.069288,0.068935,0.0,0
2024-12-01 23:00:00-08:00,0.093369,0.025741,0.067628,0.0,0
2024-12-02 00:00:00-08:00,0.078568,0.008331,0.070237,0.0,0
2024-12-02 01:00:00-08:00,0.087085,0.022816,0.064269,0.0,0
2024-12-02 02:00:00-08:00,0.090671,0.026424,0.064247,0.0,0
2024-12-02 03:00:00-08:00,0.092283,0.028677,0.063606,0.0,0
2024-12-02 04:00:00-08:00,0.098588,0.032517,0.066071,0.0,0
2024-12-02 05:00:00-08:00,0.111298,0.033339,0.077959,0.0,0
2024-12-02 06:00:00-08:00,0.119186,0.03924,0.079946,0.0,0
2024-12-02 07:00:00-08:00,0.160615,0.084091,0.076524,0.0,0
2024-12-02 08:00:00-08:00,0.202564,0.146408,0.056156,0.0,0
2024-12-02 09:00:00-08:00,0.227617,0.177331,0.050286,0.0,0
2024-12-02 10:00:00-08:00,0.221414,0.173569,0.047845,0.0,0
2024-12-02 11:00:00-08:00,0.202482,0.15752,0.044962,0.0,0
2024-12-02 12:00:00-08:00,0.23323,0.189589,0.043641,0.0,0
2024-12-02 13:00:00-08:00,0.215062,0.17135,0.043712,0.0,0
2024-12-02 14:00:00-08:00,0.237645,0.189795,0.04785,0.0,0
2024-12-02 15:00:00-08:00,0.224928,0.15933,0.065598,0.0,0
2024-12-02 16:00:00-08:00,0.225041,0.148523,0.076518,0.0,0
2024-12-02 17:00:00-08:00,0.16028,0.08052,0.07976,0.0,0
2024-12-02 18:00:00-08:00,0.140861,0.064772,0.076089,0.0,0
2024-12-02 19:00:00-08:00,0.15776,0.082271,0.075489,0.0,0
2024-12-02 20:00:00-08:00,0.137316,0.061836,0.07548,0.0,0
2024-12-02 21:00:00-08:00,0.116693,0.042063,0.07463,0.0,0
2024-12-02 22:00:00-08:00,0.109746,0.036623,0.073123,0.0,0
2024-12-02 23:00:00-08:00,0.099342,0.029433,0.069909,0.0,0
2024-12-03 00:00:00-08:00,0.073077,0.015866,0.057211,0.0,0
2024-12-03 01:00:00-08:00,0.082996,0.028693,0.054303,0.0,0
2024-12-03 02:00:00-08:00,0.079658,0.026384,0.053274,0.0,0
2024-12-03 03:00:00-08:00,0.090715,0.037274,0.053441,0.0,0
2024-12-03 04:00:00-08:00,0.097578,0.04313,0.054448,0.0,0
2024-12-03 05:00:00-08:00,0.118918,0.054111,0.064807,0.0,0
2024-12-03 06:00:00-08:00,0.182588,0.110195,0.072393,0.0,0
2024-12-03 07:00:00-08:00,0.348481,0.280436,0.068045,0.0,0
2024-12-03 08:00:00-08:00,0.32913,0.272698,0.056432,0.0,0
2024-12-03 09:00:00-08:00,0.464786,0.411515,0.053271,0.0,0
2024-12-03 10:00:00-08:00,0.490849,0.441211,0.049638,0.0,0
2024-12-03 11:00:00-08:00,0.551495,0.503131,0.048364,0.0,0
2024-12-03 12:00:00-08:00,0.622132,0.576453,0.045679,0.0,0
2024-12-03 13:00:00-08:00,0.606054,0.560908,0.045146,0.0,0
2024-12-03 14:00:00-08:00,0.570546,0.521916,0.04863,0.0,0
