,Price ($/kWh),cld - distribution,mec - generation,mgcc - generation,fixed cost
2024-12-01 00:00:00-08:00,0.078571,0.009787,0.068784,0.0,0
2024-12-01 01:00:00-08:00,0.080256,0.01232,0.067936,0.0,0
2024-12-01 02:00:00-08:00,0.071345,0.008102,0.063243,0.0,0
2024-12-01 03:00:00-08:00,0.06793,0.005756,0.062174,0.0,0
2024-12-01 04:00:00-08:00,0.068421,0.004836,0.063585,0.0,0
2024-12-01 05:00:00-08:00,0.071613,0.006529,0.065084,0.0,0
2024-12-01 06:00:00-08:00,0.077298,0.011755,0.065543,0.0,0
2024-12-01 07:00:00-08:00,0.07435,0.019377,0.054973,0.0,0
2024-12-01 08:00:00-08:00,0.068075,0.021928,0.046147,0.0,0
2024-12-01 09:00:00-08:00,0.077475,0.030452,0.047023,0.0,0
2024-12-01 10:00:00-08:00,0.093331,0.0496,0.043731,0.0,0
2024-12-01 11:00:00-08:00,0.075392,0.033988,0.041404,0.0,0
2024-12-01 12:00:00-08:00,0.065366,0.025084,0.040282,0.0,0
2024-12-01 13:00:00-08:00,0.065479,0.024768,0.040711,0.0,0
2024-12-01 14:00:00-08:00,0.063635,0.019136,0.044499,0.0,0
2024-12-01 15:00:00-08:00,0.081527,0.020659,0.060868,0.0,0
2024-12-01 16:00:00-08:00,0.102524,0.030669,0.071855,0.0,0
2024-12-01 17:00:00-08:00,0.1582,0.083964,0.074236,0.0,0
2024-12-01 18:00:00-08:00,0.204673,0.132672,0.072001,0.0,0
2024-12-01 19:00:00-08:00,0.244186,0.173347,0.070839,0.0,0
2024-12-01 20:00:00-08:00,0.19776,0.127357,0.070403,0.0,0
2024-12-01 21:00:00-08:00,0.190841,0.119856,0.070985,0.0,0
2024-12-01 22:00:00-08:00,0.133853,0.064918,0.068935,0.0,0
2024-12-01 23:00:00-08:00,0.132304,0.064676,0.067628,0.0,0
2024-12-02 00:00:00-08:00,0.093978,0.023741,0.070237,0.0,0
2024-12-02 01:00:00-08:00,0.07101,0.006741,0.064269,0.0,0
2024-12-02 02:00:00-08:00,0.069214,0.004967,0.064247,0.0,0
2024-12-02 03:00:00-08:00,0.067838,0.004232,0.063606,0.0,0
2024-12-02 04:00:00-08:00,0.070586,0.004515,0.066071,0.0,0
2024-12-02 05:00:00-08:00,0.085769,0.00781,0.077959,0.0,0
2024-12-02 06:00:00-08:00,0.093855,0.013909,0.079946,0.0,0
2024-12-02 07:00:00-08:00,0.104054,0.02753,0.076524,0.0,0
2024-12-02 08:00:00-08:00,0.074968,0.018812,0.056156,0.0,0
2024-12-02 09:00:00-08:00,0.072041,0.021755,0.050286,0.0,0
2024-12-02 10:00:00-08:00,0.069965,0.02212,0.047845,0.0,0
2024-12-02 11:00:00-08:00,0.070185,0.025223,0.044962,0.0,0
2024-12-02 12:00:00-08:00,0.065544,0.021903,0.043641,0.0,0
2024-12-02 13:00:00-08:00,0.057461,0.013749,0.043712,0.0,0
2024-12-02 14:00:00-08:00,0.065543,0.017693,0.04785,0.0,0
2024-12-02 15:00:00-08:00,0.083355,0.017757,0.065598,0.0,0
2024-12-02 16:00:00-08:00,0.107687,0.031169,0.076518,0.0,0
2024-12-02 17:00:00-08:00,0.21085,0.13109,0.07976,0.0,0
2024-12-02 18:00:00-08:00,0.376325,0.300236,0.076089,0.0,0
2024-12-02 19:00:00-08:00,0.499907,0.424418,0.075489,0.0,0
2024-12-02 20:00:00-08:00,0.439519,0.364039,0.07548,0.0,0
2024-12-02 21:00:00-08:00,0.342462,0.267832,0.07463,0.0,0
2024-12-02 22:00:00-08:00,0.174081,0.100958,0.073123,0.0,0
2024-12-02 23:00:00-08:00,0.113872,0.043963,0.069909,0.0,0
2024-12-03 00:00:00-08:00,0.069959,0.012748,0.057211,0.0,0
2024-12-03 01:00:00-08:00,0.059204,0.004901,0.054303,0.0,0
2024-12-03 02:00:00-08:00,0.056797,0.003523,0.053274,0.0,0
2024-12-03 03:00:00-08:00,0.056185,0.002744,0.053441,0.0,0
2024-12-03 04:00:00-08:00,0.05751,0.003062,0.054448,0.0,0
2024-12-03 05:00:00-08:00,0.069666,0.004859,0.064807,0.0,0
2024-12-03 06:00:00-08:00,0.081939,0.009546,0.072393,0.0,0
2024-12-03 07:00:00-08:00,0.089439,0.021394,0.068045,0.0,0
2024-12-03 08:00:00-08:00,0.076106,0.019674,0.056432,0.0,0
2024-12-03 09:00:00-08:00,0.07147,0.018199,0.053271,0.0,0
2024-12-03 10:00:00-08:00,0.07058,0.020942,0.049638,0.0,0
2024-12-03 11:00:00-08:00,0.080843,0.032479,0.048364,0.0,0
2024-12-03 12:00:00-08:00,0.069816,0.024137,0.045679,0.0,0
2024-12-03 13:00:00-08:00,0.071436,0.02629,0.045146,0.0,0
2024-12-03 14:00:00-08:00,0.078685,0.030055,0.04863,0.0,0
2024-12-03 15:00:00-08:00,0.08944,0.029431,0.060009,0.0,0
